GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,2017,RED BULL RACING TAG HEUER,5,10
China,2017,RED BULL RACING TAG HEUER,3,15
Bahrain,2017,RED BULL RACING TAG HEUER,DNF,0
Russia,2017,RED BULL RACING TAG HEUER,5,10
Spain,2017,RED BULL RACING TAG HEUER,DNF,0
Monaco,2017,RED BULL RACING TAG HEUER,5,10
Canada,2017,RED BULL RACING TAG HEUER,DNF,0
Azerbaijan,2017,RED BULL RACING TAG HEUER,DNF,0
Austria,2017,RED BULL RACING TAG HEUER,DNF,0
Great Britain,2017,RED BULL RACING TAG HEUER,4,12
Hungary,2017,RED BULL RACING TAG HEUER,5,10
Belgium,2017,RED BULL RACING TAG HEUER,DNF,0
Italy,2017,RED BULL RACING TAG HEUER,10,1
Singapore,2017,RED BULL RACING TAG HEUER,DNF,0
Malaysia,2017,RED BULL RACING TAG HEUER,1,25
Japan,2017,RED BULL RACING TAG HEUER,2,18
United States,2017,RED BULL RACING TAG HEUER,4,12
Mexico,2017,RED BULL RACING TAG HEUER,1,25
Brazil,2017,RED BULL RACING TAG HEUER,5,10
Abu Dhabi,2017,RED BULL RACING TAG HEUER,5,10
