GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,2018,RED BULL RACING TAG HEUER,6,8
Bahrain,2018,RED BULL RACING TAG HEUER,DNF,0
China,2018,RED BULL RACING TAG HEUER,5,10
Azerbaijan,2018,RED BULL RACING TAG HEUER,DNF,0
Spain,2018,RED BULL RACING TAG HEUER,3,15
Monaco,2018,RED BULL RACING TAG HEUER,9,2
Canada,2018,RED BULL RACING TAG HEUER,3,15
France,2018,RED BULL RACING TAG HEUER,2,18
Austria,2018,RED BULL RACING TAG HEUER,1,25
Great Britain,2018,RED BULL RACING TAG HEUER,DNF,0
Germany,2018,RED BULL RACING TAG HEUER,4,12
Hungary,2018,RED BULL RACING TAG HEUER,DNF,0
Belgium,2018,RED BULL RACING TAG HEUER,3,15
Italy,2018,RED BULL RACING TAG HEUER,5,10
Singapore,2018,RED BULL RACING TAG HEUER,2,18
Russia,2018,RED BULL RACING TAG HEUER,5,10
Japan,2018,RED BULL RACING TAG HEUER,3,15
United States,2018,RED BULL RACING TAG HEUER,2,18
Mexico,2018,RED BULL RACING TAG HEUER,1,25
Brazil,2018,RED BULL RACING TAG HEUER,2,18
