GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,2016,TORO ROSSO FERRARI,10,1
Bahrain,2016,TORO ROSSO FERRARI,6,8
China,2016,TORO ROSSO FERRARI,8,4
Russia,2016,TORO ROSSO FERRARI,DNF,0
Spain,2016,RED BULL RACING TAG HEUER,1,25
Monaco,2016,RED BULL RACING TAG HEUER,DNF,0
Canada,2016,RED BULL RACING TAG HEUER,4,12
Europe,2016,RED BULL RACING TAG HEUER,8,4
Austria,2016,RED BULL RACING TAG HEUER,2,18
Great Britain,2016,RED BULL RACING TAG HEUER,2,18
Hungary,2016,RED BULL RACING TAG HEUER,5,10
Germany,2016,RED BULL RACING TAG HEUER,3,15
Belgium,2016,RED BULL RACING TAG HEUER,11,0
Italy,2016,RED BULL RACING TAG HEUER,7,6
Singapore,2016,RED BULL RACING TAG HEUER,6,8
Malaysia,2016,RED BULL RACING TAG HEUER,2,18
Japan,2016,RED BULL RACING TAG HEUER,2,18
United States,2016,RED BULL RACING TAG HEUER,DNF,0
Mexico,2016,RED BULL RACING TAG HEUER,4,12
Brazil,2016,RED BULL RACING TAG HEUER,3,15
Abu Dhabi,2016,RED BULL RACING TAG HEUER,4,12
